cell_name,sample,cell_type,cell_subtype,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,source,cell_cohort
cy74_CD45_pos_F03_S735_comb,Mel74,T_cell,T_Cell_CD8,4148,4.9557,8.6729,0.1316,0.1597,Not cycling,1.2972,CD4 - Stress/HSP,CD4 - Stress/HSP,post.treatment,Tirosh
cy84_Met_CD45_pos_B02_S878_comb,Mel84,T_cell,T_Cell_CD4,3015,14.5256,-0.9186,-0.0334,0.1598,Not cycling,,"","",treatment.naive,Tirosh
CY58_1_CD45_A07_S967_comb,Mel58,T_cell,T_Cell_CD8,3223,4.763,6.3717,0.3501,0.2792,Not cycling,1.8443,CD4 - Cytotoxic,CD4 - Cytotoxic,post.treatment,Tirosh
cy80_CD45_pos_PD1_pos_C03_S123_comb,Mel80,T_cell,T_Cell_CD4,3900,5.4334,3.0074,0.2245,-0.0274,Not cycling,0.4048,CD8 - Unassigned2,"",treatment.naive,Tirosh
CY89A_Core_15_G01_S73_comb,Mel89,T_cell,T_Cell_CD8,2717,4.8365,7.9535,0.2985,-0.0721,Not cycling,0.7517,CD8 - Cytotoxic,"",treatment.naive,Tirosh
CY88CD45POS_7_G07_S271_comb,Mel88,T_cell,T_Cell_CD8,6023,-1.9193,-1.6583,0.1848,-0.262,Not cycling,1.0665,CD8 - Cytotoxic,CD8 - Cytotoxic,post.treatment,Tirosh
cy78_CD45_neg_2_A06_S582_comb,Mel78,T_cell,T_cell,3251,15.1866,-4.0915,0.1798,-0.0918,Not cycling,,"","",post.treatment,Tirosh
cy80_Cd45_pos_Pd1_neg_S226_B10_S226_comb,Mel80,T_cell,T_Cell_CD8,4196,6.1659,2.9247,-0.0862,-0.0587,Not cycling,0.917,CD4 - Naive1,"",treatment.naive,Tirosh
cy80_CD45_pos_PD1_pos_F04_S160_comb,Mel80,NK_cell,NK_cell,2763,5.6839,2.3274,-0.0891,-0.0277,Not cycling,,"","",treatment.naive,Tirosh
cy80_Cd45_pos_PD1_pos_S166_G10_S166_comb,Mel80,T_cell,T_Cell_CD4,3939,8.7888,5.6878,0.348,0.0773,Not cycling,0.3457,CD8 - Naive2,"",treatment.naive,Tirosh
cy80_CD45_neg_A11_S395_comb,Mel80,T_cell,T_Cell_CD8,2945,7.8584,2.7836,0.064,-0.0362,Not cycling,1.0851,CD8 - Naive2,CD8 - Naive2,treatment.naive,Tirosh
CY58_1_CD45_F03_S1023_comb,Mel58,T_cell,T_Cell_CD4,3434,13.7456,3.2912,-0.0521,0.1124,Not cycling,0.6717,CD8 - Memory/Naive1,"",post.treatment,Tirosh
CY94CD45POS_1_A02_S98_comb,Mel94,T_cell,T_cell,2607,16.728,-3.7628,0.1333,-0.0225,Not cycling,0.0461,CD8 - Chromatin,"",post.treatment,Tirosh
cy53_1_CD45_pos_1_D04_S40_comb,Mel53,T_cell,T_Cell_CD8,5219,4.9828,2.7757,-0.1477,0.1217,Not cycling,,"","",treatment.naive,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F09_S261_comb,Mel79,T_cell,T_Cell_CD8,3023,3.8987,10.9181,-0.0044,0.0902,Not cycling,0.9109,CD8 - Cytotoxic,"",treatment.naive,Tirosh
CY89FNA_D07_S235_comb,Mel89,T_cell,T_Cell_CD8,2733,2.0586,5.248,0.0674,0.2174,Not cycling,0.6497,CD8 - Cytotoxic,"",treatment.naive,Tirosh
cy80_CD45_pos_PD1_pos_D02_S134_comb,Mel80,T_cell,T_Cell_CD4,2640,9.1777,8.2723,-0.1787,0.0281,Not cycling,1.7312,CD4 - Dysfunction,CD4 - Dysfunction,treatment.naive,Tirosh
CY89COREQ1_D11_S335_comb,Mel89,T_cell,T_Cell_CD8,4229,2.0304,4.4066,-0.0542,0.1782,Not cycling,0.5228,CD8 - Unassigned2,"",treatment.naive,Tirosh
cy80_Cd45_pos_Pd1_neg_S225_B09_S225_comb,Mel80,T_cell,T_Cell_CD4,3600,17.4353,-0.0609,-0.256,-0.018,Not cycling,0.6295,CD8 - Memory/Naive1,"",treatment.naive,Tirosh
cy74_CD45_pos_F01_S733_comb,Mel74,T_cell,T_Cell_CD8,2806,4.1776,8.8697,-0.0724,0.263,Not cycling,1.1493,CD8 - Unassigned2,"",post.treatment,Tirosh
cy79_p5_CD45_pos_PD1_pos_D04_S616_comb,Mel79,T_cell,T_Cell_CD8,3238,3.6138,10.7323,-0.0402,0.0064,Not cycling,1.1915,CD8 - Cytotoxic,CD8 - Cytotoxic,treatment.naive,Tirosh
CY89A_CD45_POS_10_A10_S202_comb,Mel89,T_cell,T_cell,2058,13.7563,-2.7476,0.0919,0.0394,Not cycling,1.2554,CD8 - Interferon,CD8 - Interferon,treatment.naive,Tirosh
cy80_CD45_pos_PD1_pos_C01_S121_comb,Mel80,T_cell,T_cell,3637,4.8502,3.0604,0.128,-0.0708,Not cycling,1.6292,CD4 - Cytotoxic,CD4 - Cytotoxic,treatment.naive,Tirosh
cy82_CD45_pos_2_A12_S492_comb,Mel82,T_cell,T_Cell_CD8,3485,5.1522,-3.3075,0.0514,-0.0954,Not cycling,,"","",treatment.naive,Tirosh
cy79_p5_CD45_pos_PD1_pos_G08_S656_comb,Mel79,T_cell,T_Cell_CD8,3585,4.3553,8.0988,-0.173,-0.0718,Not cycling,1.1698,CD8 - Cytotoxic,CD8 - Cytotoxic,treatment.naive,Tirosh
CY89FNA_G02_S266_comb,Mel89,T_cell,T_Cell_CD8,4645,-6.2426,4.8674,1.3855,1.2703,Intermediate,3.891,CD8 - Cell Cycle,CD8 - Cell Cycle,treatment.naive,Tirosh
cy80_Cd45_pos_PD1_pos_S144_F12_S144_comb,Mel80,T_cell,T_Cell_CD4,3969,8.3697,6.4778,-0.1812,-0.0615,Not cycling,0.6814,CD4 - Naive1,"",treatment.naive,Tirosh
cy60_1_cd_45_pos_3_E02_S338_comb,Mel60,T_cell,T_Cell_CD4,6648,10.3886,2.4252,0.9214,-0.0296,G1/S,,"","",post.treatment,Tirosh
Cy74_CD45_G08_S464_comb,Mel74,T_cell,T_cell,3101,12.8855,2.8074,0.024,0.136,Not cycling,0.807,CD8 - Naive3,"",post.treatment,Tirosh
cy79_p4_CD45_pos_PD1_pos_D06_S330_comb,Mel79,T_cell,T_Cell_CD4,3602,9.0223,8.8961,0.0505,-0.0157,Not cycling,0.9191,CD4 - Dysfunction,"",treatment.naive,Tirosh
cy72_CD45_pos_B04_S880_comb,Mel72,T_cell,T_Cell_CD4,3478,17.3201,2.8201,-0.0372,0.2179,Not cycling,0.8219,CD8 - Memory/Naive1,"",post.treatment,Tirosh
cy79_p5_CD45_pos_PD1_pos_E10_S634_comb,Mel79,T_cell,T_Cell_CD8,2381,4.2118,8.6583,-0.2349,0.3004,Not cycling,0.8588,CD8 - Cytotoxic,"",treatment.naive,Tirosh
cy88_cd45pos_5_G02_S266_comb,Mel88,T_cell,T_Cell_CD4,5954,14.693,-1.6395,-0.1386,-0.0376,Not cycling,1.2638,CD4 - Naive1,CD4 - Naive1,post.treatment,Tirosh
cy74_CD45_pos_C11_S707_comb,Mel74,T_cell,T_Cell_CD4,3008,17.4781,1.2018,-0.1212,0.0921,Not cycling,1.6286,CD8 - Naive2,"",post.treatment,Tirosh
cy84_Met_CD45_pos_B07_S883_comb,Mel84,T_cell,T_cell,2672,12.7942,-2.4601,0.0721,0.0775,Not cycling,,"","",treatment.naive,Tirosh
CY89A_Core_15_F12_S72_comb,Mel89,T_cell,T_cell,2507,8.3251,-4.4852,-0.0664,-0.0789,Not cycling,0.9555,CD8 - Heat shock,"",treatment.naive,Tirosh
cy94_cd45pos_D06_S138_comb,Mel94,T_cell,T_Cell_CD4,5112,17.9276,-2.4871,-0.1183,-0.0899,Not cycling,0.4363,CD4 - Naive1,"",post.treatment,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D08_S236_comb,Mel79,T_cell,T_Cell_CD8,2820,3.9368,9.5808,-0.0919,-0.2216,Not cycling,0.8898,CD4 - Stress/HSP,"",treatment.naive,Tirosh
Cy72_CD45_F02_S734_comb,Mel72,T_cell,T_Cell_CD4,2625,15.6473,3.8295,-0.0469,0.0517,Not cycling,0.581,CD8 - Unassigned2,"",post.treatment,Tirosh
Cy74_CD45_E08_S440_comb,Mel74,T_cell,T_Cell_CD8,2698,6.5858,6.8779,-0.0016,-0.1103,Not cycling,1.6376,CD4 - Interferon,CD4 - Interferon,post.treatment,Tirosh
Cy81_FNA_CD45_C02_S218_comb,Mel81,T_cell,T_Cell_CD4,3633,9.3911,7.9248,-0.011,-0.0652,Not cycling,,"","",treatment.naive,Tirosh
CY58_1_CD45_A04_S964_comb,Mel58,T_cell,T_Cell_CD8,3658,5.4173,6.5598,0.1198,-0.0473,Not cycling,0.6156,CD4 - Cytotoxic,"",post.treatment,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F05_S257_comb,Mel79,T_cell,T_Cell_CD8,3235,4.0561,10.7986,-0.0161,0.0169,Not cycling,2.6904,CD8 - Heat shock,"",treatment.naive,Tirosh
cy82_CD45_pos_2_B02_S494_comb,Mel82,T_cell,T_cell,4686,15.7168,1.6871,-0.0785,0.1678,Not cycling,,"","",treatment.naive,Tirosh
cy53_1_CD45_pos_1_B07_S19_comb,Mel53,T_cell,T_Cell_CD8,4630,12.7359,5.257,0.1541,0.0298,Not cycling,,"","",treatment.naive,Tirosh
cy94_cd45pos_G10_S178_comb,Mel94,T_cell,T_Cell_CD8,3442,17.7027,-2.4958,0.0238,0.05,Not cycling,1.1016,CD8 - Memory/Naive1,CD8 - Memory/Naive1,post.treatment,Tirosh
cy94_cd45pos_A01_S97_comb,Mel94,T_cell,T_Cell_CD4,4357,16.6894,-4.1941,-0.1114,-0.2039,Not cycling,0.3233,CD8 - Unassigned1,"",post.treatment,Tirosh
cy74_CD45_pos_E09_S729_comb,Mel74,T_cell,T_Cell_CD8,2866,4.0807,8.3218,0.0372,0.3478,Not cycling,0.963,CD4 - Cytotoxic,"",post.treatment,Tirosh
cy60_1_cd_45_pos_4_D06_S42_comb,Mel60,T_cell,T_Cell_CD8,2201,15.1196,-1.2331,-0.1253,0.0345,Not cycling,,"","",post.treatment,Tirosh
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F03_S447_comb,Mel79,T_cell,T_Cell_CD8,2267,4.2239,10.5697,-0.0503,-0.0629,Not cycling,0.9137,CD8 - Cytotoxic,"",treatment.naive,Tirosh
cy84_Primary_CD45_pos_B10_S406_comb,Mel84,T_cell,T_Cell_CD4,3245,14.148,-1.225,-0.0466,-0.0325,Not cycling,,"","",treatment.naive,Tirosh
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H01_S1045_comb,Mel60,T_cell,T_Cell_CD8,2490,7.7333,5.6587,0.1152,-0.1718,Not cycling,,"","",post.treatment,Tirosh
CY88CD45POS_2_C05_S413_comb,Mel88,T_cell,T_Cell_CD4,4552,14.5286,-1.6798,-0.1009,0.0567,Not cycling,1.16,CD8 - Unassigned2,CD8 - Unassigned2,post.treatment,Tirosh
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F10_S454_comb,Mel79,T_cell,T_Cell_CD8,3191,4.582,10.012,-0.047,0.0045,Not cycling,0.8774,CD4 - Interferon,"",treatment.naive,Tirosh
CY75_1FNA_E11_S539_comb,Mel75,T_cell,T_Cell_CD8,3697,5.3245,-4.5604,0.2734,-0.1307,Not cycling,0.983,CD8 - Memory/Naive1,"",post.treatment,Tirosh
CY88CD45_150813_G09_S369_comb,Mel88,T_cell,T_Cell_CD8,2822,-2.2343,-1.011,-0.0732,0.1652,Not cycling,1.3472,CD8 - Cytotoxic,CD8 - Cytotoxic,post.treatment,Tirosh
CY88CD45_150813_E11_S347_comb,Mel88,T_cell,T_Cell_CD4,3761,14.9791,-2.2842,-0.132,0.1074,Not cycling,0.5336,CD8 - Naive2,"",post.treatment,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H07_S283_comb,Mel79,T_cell,T_Cell_CD8,3353,6.4948,10.1992,-0.0907,-0.0138,Not cycling,0.9231,CD8 - Memory/Naive1,"",treatment.naive,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F03_S255_comb,Mel79,T_cell,T_Cell_CD4,3448,8.5911,8.7977,-0.0217,-0.0076,Not cycling,1.4429,CD4 - Dysfunction,"",treatment.naive,Tirosh
cy72_CD45_pos_F09_S933_comb,Mel72,T_cell,T_Cell_CD4,3502,17.9795,1.6358,0.0379,-0.1552,Not cycling,0.6196,CD8 - Naive2,"",post.treatment,Tirosh
cy53_1_CD45_pos_2_G01_S1033_comb,Mel53,T_cell,T_Cell_CD4,4267,15.2188,3.0463,-0.2166,0.0093,Not cycling,,"","",treatment.naive,Tirosh
Cy74_CD45_G07_S463_comb,Mel74,T_cell,T_Cell_CD8,2512,4.5644,7.8919,-0.0567,-0.0612,Not cycling,1.2808,CD8 - Cytotoxic,CD8 - Cytotoxic,post.treatment,Tirosh
cy79_p5_CD45_pos_PD1_pos_E01_S625_comb,Mel79,T_cell,T_Cell_CD8,6173,-6.8545,4.5869,2.1601,1.6997,Intermediate,4.1704,CD4 - Cell Cycle,"",treatment.naive,Tirosh
cy60_1_cd_45_pos_4_D07_S43_comb,Mel60,T_cell,T_Cell_CD4,2786,15.3763,-3.5772,-0.0683,-0.0787,Not cycling,,"","",post.treatment,Tirosh
cy58_1_CD45_pos_B05_S593_comb,Mel58,T_cell,T_cell,2999,14.8293,2.6909,-0.0871,0.134,Not cycling,0.874,CD8 - Naive2,"",post.treatment,Tirosh
cy58_1_CD45_pos_A10_S586_comb,Mel58,T_cell,T_cell,3593,16.8013,2.3482,-0.0167,-0.0672,Not cycling,1.2552,CD8 - Naive2,CD8 - Naive2,post.treatment,Tirosh
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H10_S574_comb,Mel79,T_cell,T_Cell_CD8,3188,18.1579,1.977,-0.1791,-0.1307,Not cycling,1.5694,CD4 - Naive1,CD4 - Naive1,treatment.naive,Tirosh
CY94CD45POS_1_F02_S158_comb,Mel94,T_cell,T_cell,5024,16.28,-2.5192,0.0375,-0.1931,Not cycling,0.6958,CD4 - Unassigned,"",post.treatment,Tirosh
CY89FNA_A01_S193_comb,Mel89,T_cell,T_Cell_CD8,3605,-5.1874,4.9949,1.7084,0.3375,G1/S,1.6235,CD8 - Cell Cycle,CD8 - Cell Cycle,treatment.naive,Tirosh
CY89A_Core_15_G11_S83_comb,Mel89,T_cell,T_Cell_CD8,4149,4.3644,6.3497,0.068,0.0131,Not cycling,0.6019,CD8 - Heat shock,"",treatment.naive,Tirosh
CY75_1FNA_H08_S572_comb,Mel75,T_cell,T_Cell_CD8,3921,4.6753,-4.0654,-0.1134,0.0742,Not cycling,0.4524,CD4 - Cytotoxic,"",post.treatment,Tirosh
cy94_cd45pos_4_H04_S88_comb,Mel94,T_cell,T_Cell_CD4,4370,16.4268,-3.1329,0.101,-0.1815,Not cycling,0.2939,CD4 - Naive1,"",post.treatment,Tirosh
cy80_CD45_neg_H07_S475_comb,Mel80,T_cell,T_Cell_CD8,3345,1.6795,5.126,0.1996,0.1563,Not cycling,2.2746,CD4 - Cytotoxic,CD4 - Cytotoxic,treatment.naive,Tirosh
Cy81_FNA_CD45_A05_S197_comb,Mel81,T_cell,T_Cell_CD4,3011,15.6816,1.2822,-0.0236,-0.0595,Not cycling,,"","",treatment.naive,Tirosh
cy80_Cd45_pos_PD1_pos_S142_F10_S142_comb,Mel80,T_cell,T_cell,4098,17.4319,-0.1188,0.1435,-0.1516,Not cycling,1.0816,CD8 - Naive2,CD8 - Naive2,treatment.naive,Tirosh
cy74_CD45_pos_A07_S679_comb,Mel74,T_cell,T_Cell_CD8,4376,4.8637,9.2742,0.047,0.0516,Not cycling,0.4344,CD8 - Heat shock,"",post.treatment,Tirosh
cy80_CD45_pos_PD1_pos_F01_S157_comb,Mel80,T_cell,T_Cell_CD4,3120,7.1963,3.4684,-0.0866,-0.0607,Not cycling,0.308,CD4 - Unassigned,"",treatment.naive,Tirosh
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E07_S1015_comb,Mel60,T_cell,T_cell,3237,3.3525,5.5385,0.0049,-0.0898,Not cycling,,"","",post.treatment,Tirosh
Cy81_FNA_CD45_A08_S200_comb,Mel81,T_cell,T_Cell_CD4,3639,11.4297,2.6397,-0.0242,-0.1168,Not cycling,,"","",treatment.naive,Tirosh
CY88CD45POS_7_F07_S259_comb,Mel88,T_cell,T_Cell_CD4,4268,12.0617,-0.7593,0.1004,-0.1061,Not cycling,0.4342,CD4 - Dysfunction,"",post.treatment,Tirosh
cy80_CD45_pos_PD1_pos_H07_S187_comb,Mel80,T_cell,T_Cell_CD8,2830,6.9036,4.6956,0.0363,-0.1339,Not cycling,0.3744,CD8 - Unassigned1,"",treatment.naive,Tirosh
cy79_p4_CD45_pos_PD1_pos_G03_S363_comb,Mel79,T_cell,T_Cell_CD8,3388,5.8703,10.0762,0.0938,-0.0459,Not cycling,0.6564,CD8 - Memory/Naive1,"",treatment.naive,Tirosh
cy94_cd45pos_G12_S180_comb,Mel94,T_cell,T_Cell_CD8,4101,16.9452,-3.5483,-0.0756,-0.068,Not cycling,0.5896,CD8 - Naive2,"",post.treatment,Tirosh
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E05_S437_comb,Mel79,T_cell,T_cell,2180,8.1853,9.274,0.349,0.014,Not cycling,0.5218,CD4 - Dysfunction,"",treatment.naive,Tirosh
cy80_CD45_pos_PD1_pos_C05_S125_comb,Mel80,T_cell,T_cell,2429,17.3744,0.3069,-0.0748,-0.181,Not cycling,1.2282,CD8 - Naive2,CD8 - Naive2,treatment.naive,Tirosh
cy94_cd45pos_G08_S176_comb,Mel94,T_cell,T_Cell_CD4,3193,14.3404,-0.8646,0.038,0.1113,Not cycling,0.5371,CD4 - Glycolysis/MYC,"",post.treatment,Tirosh
CY94CD45POS_1_C12_S132_comb,Mel94,T_cell,T_Cell_CD4,5449,18.3001,-3.0324,-0.0088,-0.1652,Not cycling,0.3714,CD8 - Chromatin,"",post.treatment,Tirosh
cy53_1_CD45_pos_1_A11_S11_comb,Mel53,T_cell,T_Cell_CD4,4990,2.9382,-10.8412,0.0093,0.13,Not cycling,,"","",treatment.naive,Tirosh
Cy74_CD45_B06_S402_comb,Mel74,T_cell,T_Cell_CD4,2796,10.9024,2.6423,0.1068,-0.1452,Not cycling,1.4164,CD4 - Treg,CD4 - Treg,post.treatment,Tirosh
cy79_p5_CD45_pos_PD1_pos_F03_S639_comb,Mel79,T_cell,T_Cell_CD8,3528,4.2689,10.4166,-0.1335,-0.1106,Not cycling,1.1417,CD8 - Cytotoxic,CD8 - Cytotoxic,treatment.naive,Tirosh
cy60_1_cd_45_pos_4_G07_S79_comb,Mel60,T_cell,T_Cell_CD4,3207,15.2082,-1.6552,-0.0187,-0.2118,Not cycling,,"","",post.treatment,Tirosh
Cy74_CD45_H02_S470_comb,Mel74,T_cell,T_Cell_CD8,3263,4.4286,8.0819,0.7929,0.2473,G1/S,0.662,CD8 - Unassigned2,"",post.treatment,Tirosh
cy79_p4_CD45_pos_PD1_pos_E01_S337_comb,Mel79,T_cell,T_Cell_CD4,3608,8.2381,9.2354,0.137,-0.2196,Not cycling,0.8159,CD4 - Dysfunction,"",treatment.naive,Tirosh
CY58_1_CD45_B08_S980_comb,Mel58,T_cell,T_Cell_CD8,2551,4.2157,6.6595,-0.0882,-0.0569,Not cycling,1.2248,CD8 - Cytotoxic,CD8 - Cytotoxic,post.treatment,Tirosh
cy58_1_CD45_pos_C06_S606_comb,Mel58,T_cell,T_cell,4361,14.5957,3.3407,-0.074,-0.1326,Not cycling,1.3261,CD8 - Memory/Naive1,CD8 - Memory/Naive1,post.treatment,Tirosh
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E08_S440_comb,Mel79,T_cell,T_Cell_CD4,2945,8.8796,8.6969,-0.1523,0.1413,Not cycling,0.8343,CD4 - Naive1,"",treatment.naive,Tirosh
CY89COREQ1_A08_S296_comb,Mel89,T_cell,T_Cell_CD8,3916,1.886,5.2946,0.0674,0.033,Not cycling,1.0832,CD8 - Cytotoxic,CD8 - Cytotoxic,treatment.naive,Tirosh
cy79_p4_CD45_pos_PD1_pos_F03_S351_comb,Mel79,B_cell,B_cell,4030,2.187,10.09,0.0878,0.0607,Not cycling,,"","",treatment.naive,Tirosh
Cy72_CD45_F07_S739_comb,Mel72,T_cell,T_cell,2733,15.8462,4.7177,-0.0284,-0.1113,Not cycling,0.045,CD8 - Naive3,"",post.treatment,Tirosh
cy88_cd_45_pos_3_F09_S645_comb,Mel88,T_cell,T_cell,3674,12.7152,1.3945,-0.0421,0.3716,Not cycling,0.9752,CD4 - Treg,"",post.treatment,Tirosh
cy72_CD45_pos_F04_S928_comb,Mel72,T_cell,T_Cell_CD8,3470,17.2615,2.6555,0.054,-0.0957,Not cycling,0.5274,CD4 - Stress/HSP,"",post.treatment,Tirosh
Cy71_CD45_C08_S512_comb,Mel71,T_cell,T_Cell_CD8,2380,13.7671,3.169,0.1247,-0.084,Not cycling,,"","",treatment.naive,Tirosh
cy80_CD45_pos_PD1_pos_C12_S132_comb,Mel80,T_cell,T_Cell_CD4,3167,8.7683,5.2832,-0.1947,-0.0247,Not cycling,0.3592,CD8 - Memory/Naive1,"",treatment.naive,Tirosh
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E07_S439_comb,Mel79,T_cell,T_Cell_CD8,2178,4.1153,10.316,-0.1467,0.0496,Not cycling,0.8779,CD8 - Cytotoxic,"",treatment.naive,Tirosh
cy58_1_CD45_pos_D01_S613_comb,Mel58,T_cell,T_Cell_CD4,3738,14.6951,3.2797,-0.1133,-0.0432,Not cycling,0.7366,CD8 - Naive2,"",post.treatment,Tirosh
CY75_1FNA_E12_S540_comb,Mel75,T_cell,T_Cell_CD4,4083,15.9621,2.146,0.0276,0.1216,Not cycling,1.1078,CD8 - Memory/Naive1,CD8 - Memory/Naive1,post.treatment,Tirosh
cy53_1_CD45_pos_2_F04_S1024_comb,Mel53,T_cell,T_Cell_CD4,4786,14.992,2.3707,-0.0738,0.1982,Not cycling,,"","",treatment.naive,Tirosh
CY94CD45POS_1_G07_S175_comb,Mel94,B_cell,B_cell,7105,19.8567,-2.7671,0.164,-0.1774,Not cycling,0.241,MHC-II,"",post.treatment,Tirosh
cy79_p4_CD45_pos_PD1_pos_G12_S372_comb,Mel79,T_cell,T_Cell_CD8,3367,3.06,8.8698,0.0708,0.069,Not cycling,0.6941,CD8 - Dysfunction,"",treatment.naive,Tirosh
cy58_1_CD45_pos_A02_S578_comb,Mel58,T_cell,T_cell,5661,-7.3303,4.3909,2.1062,1.7016,Intermediate,3.8358,CD8 - Cell Cycle,"",post.treatment,Tirosh
CY88CD45POS_7_E01_S241_comb,Mel88,T_cell,T_Cell_CD4,3192,-7.6088,-1.3418,0.0436,0.1851,Not cycling,0.7929,CD4 - Dysfunction,"",post.treatment,Tirosh
cy80_Cd45_pos_PD1_pos_S110_E02_S110_comb,Mel80,T_cell,T_cell,4024,15.4272,1.5164,7e-04,-0.1899,Not cycling,1.8573,CD4 - Interferon,"",treatment.naive,Tirosh
cy94_cd45pos_G02_S170_comb,Mel94,T_cell,T_Cell_CD4,2432,14.7668,-3.3196,0.0296,0.0305,Not cycling,0.8018,CD4 - Cell Cycle,"",post.treatment,Tirosh
cy53_1_CD45_pos_2_E07_S1015_comb,Mel53,T_cell,T_Cell_CD4,4196,15.9725,2.5879,0.0379,0.3612,Not cycling,,"","",treatment.naive,Tirosh
Cy74_CD45_C06_S414_comb,Mel74,T_cell,T_Cell_CD8,2891,12.8185,5.133,0.0295,-0.0627,Not cycling,0.6556,CD8 - Memory/Naive1,"",post.treatment,Tirosh
cy80_CD45_neg_C05_S413_comb,Mel80,T_cell,T_Cell_CD8,2590,2.573,4.4568,-0.2235,0.2627,Not cycling,1.9713,CD4 - Cytotoxic,CD4 - Cytotoxic,treatment.naive,Tirosh
cy58_1_CD45_pos_E02_S626_comb,Mel58,T_cell,T_Cell_CD8,3860,15.1217,3.3875,-0.137,-0.0604,Not cycling,1.2348,CD4 - Naive2,"",post.treatment,Tirosh
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D02_S518_comb,Mel79,T_cell,T_Cell_CD4,2525,18.4144,1.4158,-0.0853,0.0188,Not cycling,1.9678,CD8 - Naive2,CD8 - Naive2,treatment.naive,Tirosh
Cy81_FNA_CD45_F10_S262_comb,Mel81,T_cell,T_Cell_CD8,3456,6.6251,5.6695,-0.0069,-0.0029,Not cycling,,"","",treatment.naive,Tirosh
Cy74_CD45_E02_S434_comb,Mel74,T_cell,T_Cell_CD8,2779,4.8861,6.9645,0.0673,0.0022,Not cycling,0.9236,CD8 - Cytotoxic,"",post.treatment,Tirosh
cy80_CD45_pos_PD1_pos_B09_S117_comb,Mel80,T_cell,T_Cell_CD4,3374,14.0316,-0.022,-0.1253,-0.0924,Not cycling,0.6558,CD4 - Naive1,"",treatment.naive,Tirosh
CY75_1FNA_A03_S483_comb,Mel75,T_cell,T_Cell_CD8,2719,4.5799,-5.4656,-0.1394,-0.0654,Not cycling,0.628,CD8 - Memory/Naive1,"",post.treatment,Tirosh
cy80_Cd45_pos_PD1_pos_C11_S71_comb,Mel80,T_cell,T_Cell_CD8,5432,4.7257,3.5748,-0.1117,0.2567,Not cycling,2.6632,CD4 - Cytotoxic,CD4 - Cytotoxic,treatment.naive,Tirosh
cy79_p4_CD45_pos_PD1_pos_H03_S375_comb,Mel79,T_cell,T_Cell_CD8,3315,3.1409,10.2181,-0.122,-0.2003,Not cycling,0.8531,CD8 - Cytotoxic,"",treatment.naive,Tirosh
Cy81_FNA_CD45_B01_S205_comb,Mel81,T_cell,T_Cell_CD8,4075,5.168,5.8852,0.2024,-0.0605,Not cycling,,"","",treatment.naive,Tirosh
cy79_p5_CD45_pos_PD1_pos_B01_S589_comb,Mel79,T_cell,T_Cell_CD8,3515,3.4268,8.642,0.0308,0.0636,Not cycling,1.7486,CD8 - Glycolysis/MYC,"",treatment.naive,Tirosh
CY58_1_CD45_D06_S1002_comb,Mel58,T_cell,T_Cell_CD8,2814,12.1747,-2.4494,-0.0139,0.0704,Not cycling,0.476,CD8 - Naive3,"",post.treatment,Tirosh
Cy72_CD45_D04_S712_comb,Mel72,T_cell,T_Cell_CD4,3100,13.69,4.8382,0.0412,5e-04,Not cycling,1.4576,CD4 - Cytotoxic,CD4 - Cytotoxic,post.treatment,Tirosh
cy80_Cd45_pos_PD1_pos_D09_S93_comb,Mel80,T_cell,T_cell,4541,9.8851,7.9404,0.1272,-0.0604,Not cycling,0.7032,CD8 - Naive2,"",treatment.naive,Tirosh
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C01_S217_comb,Mel79,T_cell,T_Cell_CD8,4544,6.1366,9.3242,-0.018,0.0872,Not cycling,1.0444,CD4 - Interferon,CD4 - Interferon,treatment.naive,Tirosh
Cy72_CD45_C12_S708_comb,Mel72,T_cell,T_Cell_CD8,3560,15.6756,4.8482,0.1062,-0.1071,Not cycling,-0.1104,CD4 - Glycolysis/MYC,"",post.treatment,Tirosh
cy80_Cd45_pos_PD1_pos_B08_S44_comb,Mel80,T_cell,T_Cell_CD8,4100,6.0011,3.6568,-0.0019,-0.1735,Not cycling,0.918,CD4 - Cytotoxic,"",treatment.naive,Tirosh
Cy72_CD45_E04_S724_comb,Mel72,T_cell,T_cell,3515,16.3457,4.1549,0.0227,0.1951,Not cycling,0.6066,CD8 - Memory/Naive1,"",post.treatment,Tirosh
