cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment
cy79-p4-CD45-neg-PDL1-neg-B08-S1076-comb,79,Malignant,4826,-7.6407,-23.2739,-0.0989,-0.0517,Not cycling,0.6783,Interferon/MHC-II (II),""
cy82-CD45-pos-3-A03-S3-comb,82,Malignant,2967,-26.2596,-15.0995,-0.0567,-0.0786,Not cycling,,"",""
cy79-p4-CD45-neg-PDL1-neg-C12-S1092-comb,79,Malignant,3106,-8.5554,-26.9166,0.1678,0.0307,Not cycling,0.6063,Skin pigmentation,""
cy79-p4-CD45-pos-PD1-pos-G07-S367-comb,79,T_cell,3591,10.8916,14.2515,0.1354,0.13,Not cycling,1.4722,CD8 - Interferon,""
cy81-Bulk-CD45-neg-G01-S169-comb,81,Malignant,6553,-23.4895,-23.097,0.1526,-0.0054,Not cycling,1.4896,Hypoxia,Hypoxia
cy79-p5-CD45-pos-PD1-pos-E08-S632-comb,79,"",4213,10.3366,15.0911,,,"",,"",""
cy81-Bulk-CD45-neg-C03-S123-comb,81,Malignant,5958,-22.1564,-23.8561,-0.0597,0.004,Not cycling,1.1554,Stress,Stress
cy79-p5-CD45-neg-PDL1-neg-D04-S808-comb,79,"",3409,-8.6841,-27.1334,,,"",,"",""
cy79-p4-CD45-neg-PDL1-neg-C03-S1083-comb,79,Malignant,3950,-9.7935,-26.3596,0.072,-0.0586,Not cycling,0.9836,Protein maturation,""
cy81-FNA-CD45-neg-C09-S993-comb,81,Malignant,10092,-24.1941,-24.9359,0.1766,0.0939,Not cycling,0.5203,EMT I,""
cy80-CD45-neg-G04-S940-comb,80,Malignant,7840,39.0675,-16.7014,1.0103,2.2773,G2/M,2.7854,Cell Cycle - G2/M,Cell Cycle - G2/M
cy80-CD45-neg-A09-S873-comb,80,Malignant,6953,38.2148,-14.8482,-0.1406,-0.1556,Not cycling,1.9702,Hypoxia,Hypoxia
cy79-p4-CD45-pos-PD1-pos-A04-S292-comb,79,T_cell,2813,10.6074,13.8846,0.123,-0.1299,Not cycling,0.7006,CD8 - Memory/Naive1,""
cy79-p4-CD45-neg-PDL1-pos-G08-S464-comb,79,Malignant,6615,-7.094,-26.9955,0.1846,-0.0217,Not cycling,0.917,Interferon/MHC-II (I),""
cy81-FNA-CD45-neg-F09-S1029-comb,81,Malignant,7912,-24.0418,-24.9627,0.4049,0.063,Not cycling,0.6717,Skin pigmentation,""
cy79-p5-CD45-pos-PD1-pos-A04-S580-comb,79,T_cell,3856,9.7597,13.3911,0.2695,0.076,Not cycling,0.8243,CD8 - Cytotoxic,""
cy82-CD45-neg-2-B02-S206-comb,82,"",11993,-27.0496,-15.0368,,,"",,"",""
cy80-CD45-neg-D04-S904-comb,80,Malignant,7774,38.6741,-14.9094,1.6711,0.0799,G1/S,1.3027,Cell Cycle - G1/S,Cell Cycle - G1/S
cy80-CD45-neg-B11-S887-comb,80,"",3081,-1.5788,15.4114,,,"",,"",""
cy79-p4-CD45-neg-PDL1-pos-A02-S386-comb,79,Malignant,4645,-8.1693,-27.6932,-0.1983,-0.0243,Not cycling,0.6083,Translation initiation,""
cy80-CD45-neg-E02-S914-comb,80,Malignant,5766,39.3238,-15.4808,1.7558,0.5069,G1/S,1.4848,Cell Cycle - G1/S,Cell Cycle - G1/S
cy81-FNA-CD45-neg-E04-S1012-comb,81,Malignant,7442,-24.0461,-24.8653,0.007,-0.1272,Not cycling,0.5501,Astrocytes,""
cy81-Bulk-CD45-neg-E04-S148-comb,81,Malignant,4496,-22.5979,-24.8563,0.1543,-0.0477,Not cycling,0.6694,Stress,""
cy79-p5-CD45-pos-PD1-pos-F06-S642-comb,79,T_cell,3256,10.2948,14.7909,-0.0508,0.0303,Not cycling,0.8581,CD8 - Cytotoxic,""
cy81-Bulk-CD45-neg-C11-S131-comb,81,Malignant,9314,-23.4476,-25.3467,0.4355,2.5802,G2/M,4.1375,Cell Cycle - G2/M,Cell Cycle - G2/M
cy81-Bulk-CD45-neg-D09-S141-comb,81,Malignant,7037,-23.4391,-24.5678,0.1976,0.1104,Not cycling,0.4508,EMT IV,""
cy80-CD45-neg-G02-S938-comb,80,Malignant,7821,39.0539,-16.424,0.3846,1.4023,G2/M,1.4291,Cell Cycle - G2/M,Cell Cycle - G2/M
cy79-p5-CD45-neg-PDL1-neg-E02-S818-comb,79,Malignant,4281,-4.9223,-28.9169,-0.0179,0.0086,Not cycling,0.4806,Stress,""
cy82-CD45-pos-3-B11-S23-comb,82,Malignant,10512,-27.1386,-15.0316,0.0889,0.0786,Not cycling,,"",""
cy79-p4-CD45-neg-PDL1-neg-G08-S1136-comb,79,"",3631,-8.7094,-23.0675,,,"",,"",""
cy79-p4-CD45-pos-PD1-pos-C11-S323-comb,79,T_cell,3511,9.5742,17.1569,-0.0564,-0.1866,Not cycling,1.1066,CD8 - Memory/Naive1,CD8 - Memory/Naive1
cy81-FNA-CD45-neg-F08-S1028-comb,81,Malignant,8761,-23.943,-25.2495,0.4059,-0.0538,Not cycling,0.2567,MYC,""
cy79-p5-CD45-neg-PDL1-neg-D03-S807-comb,79,Malignant,3840,-3.1557,-30.4329,5e-04,-0.0265,Not cycling,1.7169,Stress,Stress
cy79-p4-CD45-neg-PDL1-neg-F08-S1124-comb,79,Malignant,4407,-8.9735,-23.395,-0.1682,0.1184,Not cycling,0.7672,Respiration,""
cy81-FNA-CD45-neg-G12-S1044-comb,81,Malignant,4097,-22.5566,-24.1972,-0.0784,-0.0684,Not cycling,0.4551,Interferon/MHC-II (I),""
cy79-p5-CD45-pos-PD1-pos-B04-S592-comb,79,T_cell,3019,8.3987,15.5018,0.2626,0.0668,Not cycling,0.2268,CD8 - Unassigned1,""
cy79-p5-CD45-pos-PD1-pos-F10-S646-comb,79,T_cell,3143,10.8731,14.8459,0.0231,0.051,Not cycling,0.5353,CD4 - Interferon,""
cy79-p5-CD45-neg-PDL1-pos-A11-S683-comb,79,Malignant,5228,-7.031,-26.243,0.086,0.2399,Not cycling,0.7517,Interferon/MHC-II (I),""
cy79-p5-CD45-neg-PDL1-pos-G11-S755-comb,79,Malignant,4701,-8.507,-28.4662,-0.0906,-0.0133,Not cycling,1.075,Skin pigmentation,""
cy79-p5-CD45-neg-PDL1-pos-C10-S706-comb,79,Malignant,4792,-7.092,-28.1477,0.1398,0.0508,Not cycling,0.5881,EMT III,""
cy80-CD45-neg-G07-S943-comb,80,Endothelial,3087,-0.6321,-12.5676,0.0177,-0.0951,Not cycling,,"",""
cy80-CD45-neg-H08-S956-comb,80,Malignant,7410,40.3792,-15.67,0.0405,0.1343,Not cycling,1.4095,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy79-p4-CD45-pos-PD1-pos-A03-S291-comb,79,T_cell,2954,10.9409,13.079,-0.0275,-0.1479,Not cycling,1.1588,CD4 - Cytotoxic,""
cy80-CD45-neg-D12-S912-comb,80,Fibroblast,5986,-13.0114,-6.0887,0.0351,-0.0464,Not cycling,,"",""
cy79-p5-CD45-neg-PDL1-pos-H06-S762-comb,79,Malignant,4232,-8.6925,-23.6943,-0.0865,-0.1732,Not cycling,0.6955,EMT III,""
cy79-p4-CD45-neg-PDL1-neg-F12-S1128-comb,79,Malignant,2779,-26.0601,-7.7817,0.019,-0.0191,Not cycling,0.9208,Cell Cycle HMG-rich,""
cy81-Bulk-CD45-neg-E02-S146-comb,81,Malignant,6154,-23.2992,-23.1855,0.0574,-0.0666,Not cycling,2.0531,Hypoxia,Hypoxia
cy80-CD45-neg-A05-S869-comb,80,Malignant,3620,39.6529,-14.6507,-0.2264,-0.0951,Not cycling,1.4775,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy79-p4-CD45-pos-PD1-pos-D08-S332-comb,79,T_cell,2507,10.8376,13.6638,0.1266,-0.1279,Not cycling,1.0863,CD8 - Cytotoxic,CD8 - Cytotoxic
cy79-p4-CD45-neg-PDL1-pos-D03-S423-comb,79,Malignant,2618,-9.1392,-24.6951,-0.0745,-0.0514,Not cycling,0.4444,MP41 (Unassigned),""
cy79-p4-CD45-neg-PDL1-pos-A04-S388-comb,79,Malignant,5019,-7.671,-27.7432,-0.1181,0.0248,Not cycling,0.8623,Interferon/MHC-II (I),""
cy79-p5-CD45-neg-PDL1-neg-C02-S794-comb,79,Malignant,4786,-7.9507,-27.0197,0.0962,0.1415,Not cycling,0.4239,Protein maturation,""
cy80-CD45-neg-F05-S929-comb,80,Malignant,5190,38.9923,-14.6773,-0.1516,0.0352,Not cycling,0.8994,Skin pigmentation,""
cy81-FNA-CD45-neg-F06-S1026-comb,81,Malignant,8367,-23.9093,-24.3552,0.1495,0.0098,Not cycling,0.4146,Hypoxia,""
cy79-p4-CD45-neg-PDL1-pos-C02-S410-comb,79,Malignant,4495,-8.8494,-26.9801,-0.0396,-0.1642,Not cycling,0.7597,Skin pigmentation,""
cy79-p5-CD45-neg-PDL1-pos-C11-S707-comb,79,Malignant,7261,-4.9317,-27.721,0.687,0.1434,Not cycling,0.8207,Cell Cycle - G1/S,""
cy79-p5-CD45-neg-PDL1-pos-F09-S741-comb,79,Malignant,3719,-8.4666,-21.8185,-0.1119,-0.1518,Not cycling,0.9977,Stress,""
cy79-p5-CD45-pos-PD1-pos-D02-S614-comb,79,T_cell,2164,10.5726,12.9995,0.0151,-0.1946,Not cycling,0.4961,CD8 - Heat shock,""
cy79-p4-CD45-neg-PDL1-pos-E10-S442-comb,79,Malignant,5133,-6.5996,-28.5449,-0.1005,0.0296,Not cycling,0.8389,EMT III,""
cy82-CD45-pos-1-A04-S484-comb,82,"",3701,-6.1372,2.288,,,"",,"",""
cy79-p4-CD45-neg-PDL1-neg-B04-S1072-comb,79,Malignant,5344,-8.0701,-28.8667,-0.005,0.1173,Not cycling,1.0784,Stress,Stress
cy79-p4-CD45-neg-PDL1-neg-H01-S1141-comb,79,Malignant,3656,-9.1811,-25.5748,-0.1845,-0.1383,Not cycling,0.4325,Astrocytes,""
cy82-CD45-pos-1-G02-S554-comb,82,Macrophage,5441,13.4055,-16.7567,0.0945,0.0236,Not cycling,,"",""
cy79-p4-CD45-neg-PDL1-pos-H11-S479-comb,79,Malignant,2445,-6.8531,-28.5571,0.1521,-0.2049,Not cycling,1.2102,Stress,Stress
cy79-p5-CD45-pos-PD1-pos-A07-S583-comb,79,T_cell,2658,10.0563,13.775,-0.0192,0.1169,Not cycling,0.9113,CD8 - Cytotoxic,""
cy81-FNA-CD45-neg-H09-S1053-comb,81,Malignant,2630,-23.1639,-23.9983,-0.0889,-0.2324,Not cycling,0.5667,EMT II,""
cy79-p5-CD45-neg-PDL1-pos-E10-S730-comb,79,Malignant,4559,-9.2845,-27.7077,-0.0971,0.0559,Not cycling,0.5618,Protein maturation,""
cy79-p5-CD45-neg-PDL1-pos-G02-S746-comb,79,Malignant,4470,-8.0165,-27.3032,-0.1281,-0.1184,Not cycling,0.4127,Interferon/MHC-II (I),""
cy79-p5-CD45-pos-PD1-pos-G04-S652-comb,79,T_cell,3369,11.6612,15.0189,-0.043,0.2366,Not cycling,0.9936,CD8 - Unassigned2,""
cy82-CD45-pos-3-G08-S80-comb,82,T_cell,2860,9.4247,13.2368,-0.2928,0.0264,Not cycling,,"",""
cy79-p5-CD45-neg-PDL1-neg-G04-S844-comb,79,Malignant,3693,-9.1043,-23.8405,-0.0497,-0.0613,Not cycling,1.0851,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy79-p4-CD45-neg-PDL1-pos-B11-S407-comb,79,Malignant,4827,-6.8455,-27.9322,0.1305,-0.0174,Not cycling,0.6937,Skin pigmentation,""
cy79-p5-CD45-pos-PD1-pos-C11-S611-comb,79,T_cell,3592,8.8765,16.8209,0.0898,-0.0235,Not cycling,0.3432,CD4 - Dysfunction,""
cy79-p4-CD45-pos-PD1-pos-D02-S326-comb,79,T_cell,3564,10.5823,13.45,0.0606,0.0159,Not cycling,0.7167,CD8 - Cytotoxic,""
cy79-p4-CD45-pos-PD1-pos-G08-S368-comb,79,T_cell,4051,9.9006,12.6849,-0.026,-0.0939,Not cycling,1.0982,CD8 - Cytotoxic,CD8 - Cytotoxic
cy81-FNA-CD45-neg-F02-S1022-comb,81,Malignant,7961,-24.1512,-24.5522,0.2498,-0.0389,Not cycling,0.5165,Interferon/MHC-II (I),""
cy79-p4-CD45-neg-PDL1-pos-D05-S425-comb,79,Malignant,4014,-8.4326,-27.9748,-0.0437,0.022,Not cycling,0.6638,Interferon/MHC-II (II),""
cy79-p4-CD45-neg-PDL1-pos-D01-S421-comb,79,Malignant,4490,-8.459,-22.4638,0.0054,-0.1042,Not cycling,0.8332,Respiration,""
cy79-p5-CD45-pos-PD1-pos-F08-S644-comb,79,T_cell,3749,9.1708,14.5792,-0.0197,0.1857,Not cycling,1.4372,CD8 - Unassigned2,""
cy80-CD45-neg-C06-S894-comb,80,Endothelial,4699,-0.2721,-13.0449,0.1128,0.0083,Not cycling,,"",""
cy79-p5-CD45-pos-PD1-pos-F12-S648-comb,79,T_cell,2063,11.223,14.4785,0.0337,-0.1057,Not cycling,2.1122,CD4 - Interferon,""
cy79-p4-CD45-neg-PDL1-neg-H09-S1149-comb,79,Malignant,4904,-7.5031,-27.3985,-0.0471,0.067,Not cycling,0.3418,Interferon/MHC-II (II),""
cy81-FNA-CD45-neg-B04-S976-comb,81,Malignant,7827,-23.8288,-23.8347,-0.0067,-0.0071,Not cycling,0.8565,EMT III,""
cy79-p4-CD45-neg-PDL1-neg-F03-S1119-comb,79,Malignant,4617,-8.6117,-23.2782,-0.199,-0.0773,Not cycling,0.7958,Skin pigmentation,""
cy79-p4-CD45-neg-PDL1-pos-C04-S412-comb,79,Malignant,4280,-8.9551,-24.3003,-0.1225,0.0866,Not cycling,0.6353,Skin pigmentation,""
cy79-p5-CD45-neg-PDL1-pos-G05-S749-comb,79,Malignant,4275,-4.8498,-29.381,0.0664,0.0105,Not cycling,1.492,Translation initiation,Translation initiation
cy79-p4-CD45-neg-PDL1-pos-F06-S450-comb,79,Malignant,4502,-8.367,-22.5742,0.0335,-0.1064,Not cycling,0.629,Skin pigmentation,""
cy82-CD45-pos-3-C11-S35-comb,82,Malignant,4868,-26.3139,-14.9733,-0.0055,0.1232,Not cycling,,"",""
cy79-p4-CD45-pos-PD1-pos-A10-S298-comb,79,T_cell,2172,8.2354,16.3409,0.0707,0.0323,Not cycling,0.4635,CD8 - Memory/Naive1,""
cy79-p5-CD45-pos-PD1-pos-H02-S662-comb,79,T_cell,4155,9.0549,16.1991,0.0997,0.0158,Not cycling,1.1723,CD8 - Glycolysis/MYC,""
cy81-FNA-CD45-neg-E12-S1020-comb,81,Malignant,5831,-23.2989,-24.38,0.0865,-0.009,Not cycling,0.3472,Hypoxia,""
cy79-p4-CD45-neg-PDL1-neg-A12-S1068-comb,79,Malignant,3944,-5.9056,-25.9291,0.0103,0.7738,G2/M,1.8661,Cell Cycle - G2/M,""
cy79-p4-CD45-neg-PDL1-neg-B11-S1079-comb,79,Malignant,4528,-9.1052,-26.2282,0.1751,0.0068,Not cycling,0.4124,Cell Cycle - G1/S,""
cy79-p5-CD45-neg-PDL1-neg-A05-S773-comb,79,Malignant,3195,-8.4325,-26.7918,-0.1909,-0.0988,Not cycling,1.0817,Translation initiation,Translation initiation
cy80-CD45-neg-D03-S903-comb,80,Malignant,7586,38.3592,-14.9351,0.453,0.1735,Not cycling,1.3839,Hypoxia,Hypoxia
cy79-p4-CD45-pos-PD1-pos-F06-S354-comb,79,T_cell,3261,7.8668,18.0362,-0.1606,-0.158,Not cycling,0.5166,CD4 - Naive1,""
cy81-Bulk-CD45-neg-E09-S153-comb,81,Malignant,8137,-23.3929,-24.8176,0.0466,-0.0322,Not cycling,0.5821,Stress,""
cy79-p5-CD45-neg-PDL1-neg-F05-S833-comb,79,Malignant,5080,-5.936,-28.4688,0.1928,-0.0544,Not cycling,0.6189,Skin pigmentation,""
cy79-p5-CD45-pos-PD1-pos-E09-S633-comb,79,T_cell,3327,8.4113,14.1254,-0.0334,0.1605,Not cycling,1.685,CD8 - Cytotoxic,CD8 - Cytotoxic
cy80-CD45-neg-B01-S877-comb,80,Malignant,7572,40.0729,-15.4845,-0.0201,0.154,Not cycling,0.832,Skin pigmentation,""
cy82-CD45-pos-1-E08-S536-comb,82,Malignant,5880,-26.2248,-15.125,-0.0696,-0.084,Not cycling,,"",""
cy79-p5-CD45-neg-PDL1-neg-H06-S858-comb,79,Malignant,5276,-6.5723,-24.3045,0.0203,0.0801,Not cycling,0.6499,Stress,""
cy79-p4-CD45-neg-PDL1-neg-A03-S1059-comb,79,Malignant,4504,-9.5434,-27.1392,-0.0433,-0.0044,Not cycling,0.4619,MES (glioma),""
cy79-p5-CD45-neg-PDL1-neg-H10-S862-comb,79,Malignant,4210,-8.7401,-26.3842,-0.0433,-0.2191,Not cycling,0.6076,Interferon/MHC-II (II),""
cy80-CD45-neg-C09-S897-comb,80,Malignant,7863,39.7165,-15.9052,0.7393,0.5015,G1/S,1.038,Stress,""
cy80-CD45-neg-E12-S924-comb,80,Endothelial,5743,-0.4809,-12.8617,-0.1426,-0.066,Not cycling,,"",""
cy79-p5-CD45-neg-PDL1-pos-E03-S723-comb,79,Malignant,4936,-6.3359,-27.7135,0.0949,0.0254,Not cycling,1.1322,Stress,Stress
cy79-p4-CD45-neg-PDL1-pos-C12-S420-comb,79,Malignant,3591,-8.8769,-24.1157,-0.0974,0.063,Not cycling,0.6334,Skin pigmentation,""
cy79-p5-CD45-neg-PDL1-pos-E08-S728-comb,79,Malignant,7489,-5.1041,-27.7855,1.1739,0.1367,G1/S,1.0107,Cell Cycle - G1/S,""
cy80-CD45-neg-D07-S907-comb,80,Malignant,5797,40.1685,-15.4037,0.2219,0.0159,Not cycling,0.5539,MYC,""
cy79-p5-CD45-neg-PDL1-neg-H07-S859-comb,79,Malignant,6398,-5.1408,-26.8552,-0.0651,0.2118,Not cycling,0.9085,MYC,""
cy79-p5-CD45-pos-PD1-pos-E02-S626-comb,79,Malignant,2339,-9.7665,-27.9669,-0.0956,-0.0364,Not cycling,1.0583,Stress,Stress
cy80-CD45-neg-A03-S867-comb,80,Malignant,7982,38.1319,-14.8668,0.2076,0.1251,Not cycling,1.5049,Stress (in vitro),Stress (in vitro)
cy79-p5-CD45-neg-PDL1-neg-G09-S849-comb,79,Malignant,5282,-5.4864,-29.7014,0.2126,0.0121,Not cycling,0.5661,Skin pigmentation,""
cy79-p5-CD45-neg-PDL1-neg-C09-S801-comb,79,Malignant,3989,-8.631,-23.2707,-0.0027,-0.1731,Not cycling,0.8089,EMT III,""
cy79-p4-CD45-pos-PD1-pos-E09-S345-comb,79,T_cell,3561,5.802,19.3877,-0.1116,0.0632,Not cycling,1.0656,CD8 - Naive2,CD8 - Naive2
cy82-CD45-pos-1-B12-S504-comb,82,"",3655,-18.0008,3.887,,,"",,"",""
cy79-p5-CD45-neg-PDL1-neg-B04-S784-comb,79,"",4100,-7.7499,-21.6627,,,"",,"",""
cy80-CD45-neg-H09-S957-comb,80,Malignant,8235,39.5341,-15.8095,2.062,0.5473,G1/S,1.3753,Cell Cycle - G1/S,Cell Cycle - G1/S
cy79-p5-CD45-pos-PD1-pos-G05-S653-comb,79,T_cell,2652,10.1113,15.1551,0.0061,0.1082,Not cycling,0.9793,CD4 - Naive1,""
cy80-CD45-neg-H02-S950-comb,80,Malignant,6900,39.075,-15.4924,0.4086,0.1845,Not cycling,2.0125,Secreted I,""
cy79-p5-CD45-pos-PD1-pos-H07-S667-comb,79,T_cell,2513,10.6382,15.0305,0.0785,-0.0035,Not cycling,0.6039,CD8 - Cytotoxic,""
cy79-p5-CD45-neg-PDL1-neg-G03-S843-comb,79,Malignant,3482,-8.5763,-21.9682,-0.1815,-0.0967,Not cycling,0.5686,MP41 (Unassigned),""
cy79-p4-CD45-neg-PDL1-pos-D12-S432-comb,79,Malignant,2997,-9.5697,-26.9725,-0.2081,-0.0564,Not cycling,0.6432,Interferon/MHC-II (II),""
cy81-Bulk-CD45-neg-C08-S128-comb,81,Malignant,5674,-23.2204,-23.763,0.1319,-0.0361,Not cycling,0.8493,EMT I,""
cy79-p4-CD45-neg-PDL1-pos-A08-S392-comb,79,Malignant,5612,-5.4134,-26.837,0.9731,0.1018,G1/S,2.2054,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy80-CD45-neg-E01-S913-comb,80,Malignant,4049,38.1481,-14.6621,-0.1819,-0.0762,Not cycling,2.0007,Hypoxia,Hypoxia
cy79-p5-CD45-pos-PD1-pos-D03-S615-comb,79,T_cell,2625,8.2581,15.4416,-0.1401,-0.0797,Not cycling,0.8255,CD4 - Dysfunction,""
cy81-Bulk-CD45-neg-C04-S124-comb,81,Malignant,4416,-21.7621,-23.709,-0.143,-0.0989,Not cycling,0.3837,Translation initiation,""
cy79-p4-CD45-neg-PDL1-pos-F11-S455-comb,79,Malignant,6131,-6.0457,-28.6215,-0.1535,0.0121,Not cycling,0.3641,Astrocytes,""
cy82-CD45-pos-1-H05-S569-comb,82,Malignant,8208,-27.2719,-14.7948,0.3949,0.1298,Not cycling,,"",""
cy79-p5-CD45-pos-PD1-pos-D09-S621-comb,79,B_cell,3720,-20.9433,10.1881,0.0279,0.1097,Not cycling,,"",""
cy80-CD45-neg-H03-S951-comb,80,Malignant,7637,40.2597,-15.491,0.21,0.0429,Not cycling,0.3559,MYC,""
cy81-Bulk-CD45-neg-B03-S111-comb,81,Malignant,7998,-23.2344,-24.9943,0.0291,-0.037,Not cycling,0.5835,Stress,""
cy81-Bulk-CD45-neg-E08-S152-comb,81,Malignant,7427,-23.2175,-25.1447,0.3207,-0.2941,Not cycling,1.0856,Stress,Stress
cy79-p4-CD45-neg-PDL1-neg-D06-S1098-comb,79,Malignant,4922,-7.9393,-27.9536,-0.0172,0.0906,Not cycling,0.7281,Skin pigmentation,""
cy79-p5-CD45-pos-PD1-pos-C07-S607-comb,79,T_cell,4105,-0.2191,16.3607,-0.0446,-0.0489,Not cycling,1.4732,CD8 - Naive3,""
cy79-p4-CD45-neg-PDL1-neg-B09-S1077-comb,79,Malignant,6235,-8.213,-26.6617,0.0453,-0.0657,Not cycling,0.8822,IG,""
cy79-p4-CD45-neg-PDL1-pos-B10-S406-comb,79,Malignant,5153,-6.4963,-27.3882,-0.0438,0.1032,Not cycling,0.6509,Skin pigmentation,""
cy79-p4-CD45-pos-PD1-pos-E07-S343-comb,79,T_cell,3273,10.6908,14.3965,-0.0897,-0.1321,Not cycling,0.7311,CD8 - Cytotoxic,""
cy82-CD45-pos-1-F08-S548-comb,82,T_cell,2985,-3.1567,15.3574,0.1144,-0.0152,Not cycling,,"",""
cy80-CD45-neg-D10-S910-comb,80,Malignant,5734,37.9169,-15.3107,-0.098,-0.2302,Not cycling,1.0491,Hypoxia,Hypoxia
cy79-p5-CD45-neg-PDL1-pos-F02-S734-comb,79,Malignant,5502,-5.9348,-28.5924,0.9021,-0.0053,G1/S,1.4678,Cell Cycle - G1/S,""
cy79-p5-CD45-neg-PDL1-neg-G07-S847-comb,79,Malignant,4767,-8.2748,-21.5109,-0.102,-0.0978,Not cycling,1.0665,Stress,Stress
cy79-p4-CD45-neg-PDL1-neg-H03-S1143-comb,79,Malignant,3465,-8.3631,-22.0068,-0.1982,-0.0654,Not cycling,1.0819,Stress,Stress
cy79-p4-CD45-neg-PDL1-neg-G01-S1129-comb,79,"",3197,-7.4243,-23.4033,,,"",,"",""
cy79-p4-CD45-neg-PDL1-neg-H10-S1150-comb,79,Malignant,4191,-9.2817,-26.2283,-0.0908,-0.1048,Not cycling,0.6409,Respiration,""
cy79-p4-CD45-pos-PD1-pos-F01-S349-comb,79,T_cell,4019,8.9271,16.2485,-0.0499,0.0942,Not cycling,0.5966,CD4 - Stress/HSP,""
cy79-p4-CD45-neg-PDL1-pos-D02-S422-comb,79,Malignant,4755,-7.6124,-27.8086,0.0241,0.1903,Not cycling,0.7172,Stress,""
cy79-p4-CD45-pos-PD1-pos-C10-S322-comb,79,T_cell,3563,7.3684,18.6054,-0.0461,-0.0629,Not cycling,0.9695,CD4 - Dysfunction,""
cy80-CD45-neg-F12-S936-comb,80,Endothelial,2972,-0.4689,-12.7576,-0.1481,-0.0196,Not cycling,,"",""
cy80-CD45-neg-F10-S934-comb,80,Endothelial,3781,-0.3373,-12.6725,-0.0232,0.1825,Not cycling,,"",""
cy79-p4-CD45-neg-PDL1-pos-A11-S395-comb,79,Malignant,6319,-4.7799,-27.8154,0.1891,0.0268,Not cycling,1.3159,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy79-p4-CD45-neg-PDL1-neg-G07-S1135-comb,79,Malignant,5813,-9.1548,-25.4491,-0.1446,0.0032,Not cycling,0.3012,Hemato-related I,""
cy79-p4-CD45-neg-PDL1-pos-C10-S418-comb,79,Malignant,3316,-7.3368,-26.9478,-0.0728,-0.0095,Not cycling,0.5927,Stress,""
cy79-p5-CD45-pos-PD1-pos-G12-S660-comb,79,T_cell,2253,10.403,14.3903,0.0025,-0.0588,Not cycling,0.9344,CD4 - Naive1,""
cy79-p4-CD45-neg-PDL1-pos-E02-S434-comb,79,Malignant,4464,-9.9792,-26.7579,-0.0547,-0.0759,Not cycling,0.5045,EMT I,""
cy79-p5-CD45-pos-PD1-pos-E04-S628-comb,79,T_cell,4540,11.7399,15.0627,-0.0101,0.1304,Not cycling,0.3151,CD4 - Unassigned,""
cy79-p4-CD45-neg-PDL1-pos-F09-S453-comb,79,Malignant,4897,-10.1456,-26.8975,-0.0187,-0.2029,Not cycling,0.8066,Protein maturation,""
cy79-p5-CD45-pos-PD1-pos-B08-S596-comb,79,T_cell,3227,10.5962,14.5274,0.1167,-0.0563,Not cycling,0.5446,CD4 - Naive1,""
cy79-p4-CD45-pos-PD1-pos-B10-S310-comb,79,B_cell,2852,-19.69,10.667,0.1048,0.0549,Not cycling,,"",""
cy80-CD45-neg-D09-S909-comb,80,Malignant,8289,39.1343,-16.6652,1.0576,2.4405,G2/M,3.0318,Cell Cycle - G2/M,Cell Cycle - G2/M
cy79-p4-CD45-neg-PDL1-neg-C11-S1091-comb,79,Malignant,5223,-7.4708,-27.872,0.1754,-0.0752,Not cycling,0.7623,Interferon/MHC-II (I),""
cy79-p4-CD45-pos-PD1-pos-F04-S352-comb,79,T_cell,3170,11.6336,13.413,0.0091,0.1108,Not cycling,0.7548,CD4 - Glycolysis/MYC,""
cy79-p5-CD45-neg-PDL1-pos-B04-S688-comb,79,Malignant,4999,-7.9368,-22.9564,0.0427,-0.1647,Not cycling,0.7152,EMT III,""
cy81-Bulk-CD45-neg-F05-S161-comb,81,Malignant,4387,-23.2757,-23.0658,0.1671,0.0534,Not cycling,1.732,Hypoxia,Hypoxia
cy79-p5-CD45-neg-PDL1-pos-E06-S726-comb,79,Malignant,4468,-7.838,-21.6647,0.0098,-0.0112,Not cycling,0.9528,Respiration,""
cy81-FNA-CD45-neg-G03-S1035-comb,81,Malignant,2790,-21.5407,-22.9963,-0.0866,-0.3554,Not cycling,0.8256,Hypoxia,""
cy79-p5-CD45-pos-PD1-pos-H06-S666-comb,79,T_cell,4019,12.1302,14.713,0.0484,0.0167,Not cycling,0.808,CD8 - Unassigned2,""
cy79-p5-CD45-pos-PD1-pos-F02-S638-comb,79,T_cell,3930,11.5485,14.6533,-0.0344,0.2558,Not cycling,0.5236,CD8 - Cytotoxic,""
cy79-p5-CD45-neg-PDL1-neg-F11-S839-comb,79,Malignant,5146,-3.0419,-31.7208,0.0274,0.1478,Not cycling,1.5755,Interferon/MHC-II (II),""
cy79-p5-CD45-neg-PDL1-neg-F02-S830-comb,79,Malignant,3377,-6.8149,-24.1563,0.0311,-0.0578,Not cycling,1.0804,Hypoxia,Hypoxia
